,name,Mni,Mni_e,Arnett,Tail
0,SN1993J,0.079032509617,0.0113275220385,0.152318846503,0.0810083562809
1,SN1994I,0.0799118767763,0.00691281503746,0.108402147253,0.0476623819184
2,SN1996cb,0.0226157662996,0.00408477286473,0.0433717437181,0.0304974537935
3,SN1998bw,0.312385180459,0.051589806076,0.669127948073,0.300244833185
4,SN2002ap,0.0576702521677,0.00776748332929,0.110674703145,0.061638884585
5,SN2003jd,0.145453568356,0.0263318134072,0.293319393168,0.116990446066
6,SN2004aw,0.133156342502,0.0221829291457,0.216082627939,0.150908429572
7,SN2004gq,0.0509186748902,0.0105696315269,0.0824726145548,0.0438253902551
8,SN2005hg,0.348210716199,0.0631278810921,0.627225862755,0.353001782003
9,SN2006T,0.105100162161,0.0251069385158,0.183404685394,0.0823407847839
10,SN2006el,0.0566886036724,0.0129499589601,0.108442660732,0.051910003289
11,SN2006ep,0.0878446464242,0.0167910302071,0.163487622813,0.0579679615834
12,SN2007gr,0.0491703180458,0.00828935515686,0.0724264226089,0.0471974660183
13,SN2007ru,0.14710672232,0.0249642581892,0.268993938072,0.102660883033
14,SN2007uy,0.165730157708,0.0373555383167,0.289657060917,0.143411502427
15,SN2008D,0.0358018092514,0.00613713318463,0.0656451374636,0.0359545732234
16,SN2008ax,0.063083003295,0.0118034173889,0.121093720597,0.0600835883939
17,SN2009bb,0.108893746065,0.0185870014161,0.193785294188,0.158377762655
18,SN2009jf,0.155120227399,0.0262338397307,0.2857175595,0.163992055379
19,SN2011bm,0.335578595226,0.0569535250223,0.629062333645,0.573523370338
20,SN2011dh,0.0898458519805,0.0086974761913,0.169208622321,0.0934822986708
21,iPTF13bvn,0.0545931898867,0.00920995558312,0.0955412853701,0.0397941919135
22,SN2013df,0.0743607125821,0.0108016683226,0.142512353287,0.0632675428447
23,SN2013ge,0.0650366740085,0.0160546527973,0.114118104765,0.0626717593208
24,SN2014ad,0.14795155565,0.0247932088245,0.316913185449,0.146505733686
25,SN2016coi,0.153417056623,0.0255733962878,0.336248843724,0.170316481544
26,SN2016gkg,0.0502248831392,0.00843430912697,0.0890593664389,0.0551706628823
27,SN2017gax,0.0755632928948,0.0270817304498,0.122914738908,0.0701244119417
